titulo,autores,afiliaciones,palabras_clave,tematica,referencias,id_articulo,id
Inteligencia artificial generativa: capacidades de Llama-3.1-70B-Instruct en las asignaturas Bioquímica y Metabolismo y nutrición,Carlos Javier Pérez Perez|Felicia Pérez Moya|Ángela Rosa Herrera Trocones,"Universidad de Ciencias Médicas de Sancti Spíritus, Facultad de Ciencias Médicas ‘Dr. Faustino Pérez Hernández’",ChatGPT|Medical Education|Biochemistry|Metabolism|Llama3,Inteligencia artificial generativa en la educación médica,"Pérez Pérez CJ, Pérez Moya F, Herrera Trocones AR: Inteligencia artificial generativa: capacidades de Llama-3.1-70B- Instruct en las asignaturas Bioquímica y Metabolismo y nutrición. Rev haban cienc méd [Internet]. 2025 [citado ]; 24.|CITAR OTROS REFERENCIAS AQUÍ SI FUERON USADAS",5895.+IA+generativa+en+la+Docencia,
Art01-Vol24,Carlos García|Abel Rodríguez|Norma Cabrera|Luisa González,"Departamento de Ciencia de la Computación, Universidad Central de Las Villas, Cuba",dependencia de existencia|diseño de bases de datos|entidades débiles|interrelaciones débiles|modelación de datos,Dependencia de existencia en interrelaciones binarias y su transformación al modelo relacional,,Art01-Vol24,
Art02-Vol24,Andrés Gago Alonso|Luís Santiago Moreno|Luís Ramiro Piñeiro,CENATAV|Universidad de Toronto|Universidad de la Habana,,Ecuaciones de Toda relativistas y sistemas dinámicos no lineales finitos,7|14|15|16|17,Art02-Vol24,
UNA METODOLOGÍA PARA LA INTERPRETACIÓN CUANTITATIVA DE LA CINEMÁTICA DEL CICLO DE MARCHA,Cacoq Junot1|Carlos Díaz Novo2|Larisa Zamora Matamoros3,"Universidad de Oriente1-3|Centro de Biofísica Medica2, Cuba",Bootstrap|Banda de Predicción|Banda Confidencial|Cinemática|Ciclo de marcha,Cinemática del ciclo de marcha,,Art03-Vol24,
Determinación de las causas de la degradación del suelo a través del análisis de correspondencias simple y de regresión logística binaria,José Víctor Tamariz Flores|Gladys Linares Fleites|Jesús A. Ruiz Careaga|Jenaro Reyes M.|Otilio Acevedo S.,Postgrado de Ciencias Ambientales- ICUAP|Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla|Universidad Autónoma del Estado de Hidalgo,análisis de correspondencias|erosión de suelo|regresión logística,Erosión de suelo y análisis de correspondencias simples,,Art04-Vol24,
"ANALISIS DISCRIMINANTE LINEAL EN EL ESTUDIO DE LA CALIDAD DE LOS SUELOS DE LA SIERRA NORTE DE PUEBLA, MEXICO",M.G. Tenorio Arvide|M.A. Valera Perez|G. Linares Fleites|O. A Acevedo Sandoval|J.B. Dixon,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México.|Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México.|Universidad Autónoma de Hidalgo.|Texas A&M University, College Station, Texas, USA.",Andisoles|Calidad Inherente|Calidad Dinámica|Función Discriminante,"Evaluación de la calidad de suelos en Sierra Norte de Puebla, México",,Art05-Vol24,
Art07-Vol24,Aida María Torres Alfonso|Dámasa Martínez Martínez,Facultad de Matemática Física y Computación. Universidad Central de Las Villas,comprensión matemática|modelos|situaciones didácticas,Comprehension of mathematical knowledge in Education Mathematics,"Rico, 1997; NCTM, 2000|Sierpinska, 1994|Pirie y Kieren, 1994",Art07-Vol24,
Una recomendación para la demostración de la independencia de la media y la varianza,E Menéndez|J Villagómez|M A Herrera,"Dpto. Matemática Aplicada. Facultad de Matemática y Computación. Universidad de La Habana, Cuba|Unidad Académica Facultad de Matemática. Sede Acapulco. Universidad Autónoma de Guerrero. México",distribución t-Student; independencia; media muestral; varianza muestral,Independencia entre la media y la varianza en distribuciones normales,,Art08-Vol24,
Art09-Vol24,Minerva Montero|Ernestina Castell|Mario M. Ojeda,"Instituto de Cibernética, Matemática y Física, La Habana, Cuba|Universidad de La Habana, La Habana, Cuba|Universidad Veracruzana, Xalapa, México",tablas de contingencia|modelos multinivel|enfoque GSK,Análisis estadístico de tablas de contingencia,,Art09-Vol24,
Art10-Vol24,Rafael Oliva-Santos,Facultad de Matemática y Computación. Universidad de La Habana,,"Web, Informacion, Sociedad de la informacion",,Art10-Vol24,
