Source,Target,Type,Weight
Carlos Javier Pérez Perez,Felicia Pérez Moya,Undirected,1
Carlos Javier Pérez Perez,Ángela Rosa Herrera Trocones,Undirected,1
Felicia Pérez Moya,Ángela Rosa Herrera Trocones,Undirected,1
Abel Rodr´ıguez Morffi,Carlos García,Undirected,1
Abel Rodr´ıguez Morffi,Luisa González,Undirected,1
Abel Rodr´ıguez Morffi,Norma Cabrera,Undirected,1
Carlos García,Luisa González,Undirected,1
Carlos García,Norma Cabrera,Undirected,1
Luisa González,Norma Cabrera,Undirected,1
Andrés Gago Alonso,Luís Santiago Moreno,Undirected,1
Andrés Gago Alonso,Prof. Dr. Luis Ramiro Piñeiro Díaz,Undirected,1
Luís Santiago Moreno,Prof. Dr. Luis Ramiro Piñeiro Díaz,Undirected,1
Cacoq Junot,Carlos Díaz Novo,Undirected,1
Cacoq Junot,Larisa Zamora Matamoros,Undirected,1
Carlos Díaz Novo,Larisa Zamora Matamoros,Undirected,1
Gladys Linares Fleites,Jenaro Reyes M.,Undirected,1
Gladys Linares Fleites,Jesús A. Ruiz Careaga,Undirected,1
Gladys Linares Fleites,José Víctor Tamariz Flores,Undirected,1
Gladys Linares Fleites,Otilio Acevedo S.,Undirected,1
Jenaro Reyes M.,Jesús A. Ruiz Careaga,Undirected,1
Jenaro Reyes M.,José Víctor Tamariz Flores,Undirected,1
Jenaro Reyes M.,Otilio Acevedo S.,Undirected,1
Jesús A. Ruiz Careaga,José Víctor Tamariz Flores,Undirected,1
Jesús A. Ruiz Careaga,Otilio Acevedo S.,Undirected,1
José Víctor Tamariz Flores,Otilio Acevedo S.,Undirected,1
Gladys Linares Fleites,J.B. Dixon,Undirected,1
Gladys Linares Fleites,M.A. Valera Pérez,Undirected,1
Gladys Linares Fleites,M.G. Tenorio Arvide,Undirected,1
Gladys Linares Fleites,O. A Acevedo Sandoval,Undirected,1
J.B. Dixon,M.A. Valera Pérez,Undirected,1
J.B. Dixon,M.G. Tenorio Arvide,Undirected,1
J.B. Dixon,O. A Acevedo Sandoval,Undirected,1
M.A. Valera Pérez,M.G. Tenorio Arvide,Undirected,1
M.A. Valera Pérez,O. A Acevedo Sandoval,Undirected,1
M.G. Tenorio Arvide,O. A Acevedo Sandoval,Undirected,1
Jesús Barreto Molina,Pedro Domínguez Wade,Undirected,2
Aida María Torres Alfonso,Dámasa Martínez Martínez,Undirected,1
E. Menéndez,J. Villagómez,Undirected,1
E. Menéndez,M. A. Herrera,Undirected,1
J. Villagómez,M. A. Herrera,Undirected,1
Ernestina Castell2,Mario M. Ojeda3,Undirected,1
Ernestina Castell2,Minerva Montero Díaz,Undirected,1
Mario M. Ojeda3,Minerva Montero Díaz,Undirected,1
Aymée de los Ángeles Marrero Severo,Miriam Nicado García,Undirected,1
David Guinovart Sanjuán,Isidro A. Abelló Ugalde,Undirected,1
David Guinovart Sanjuán,Julián Bravo Castillero,Undirected,3
David Guinovart Sanjuán,Raúl Guinovart Díaz,Undirected,2
David Guinovart Sanjuán,Reinaldo Rodr(cid:237)guez Ramos,Undirected,3
David Guinovart Sanjuán,Wilfredo Morales Lezca,Undirected,1
Isidro A. Abelló Ugalde,Julián Bravo Castillero,Undirected,1
Isidro A. Abelló Ugalde,Raúl Guinovart Díaz,Undirected,1
Isidro A. Abelló Ugalde,Reinaldo Rodr(cid:237)guez Ramos,Undirected,1
Isidro A. Abelló Ugalde,Wilfredo Morales Lezca,Undirected,1
Julián Bravo Castillero,Raúl Guinovart Díaz,Undirected,4
Julián Bravo Castillero,Reinaldo Rodr(cid:237)guez Ramos,Undirected,7
Julián Bravo Castillero,Wilfredo Morales Lezca,Undirected,1
Raúl Guinovart Díaz,Reinaldo Rodr(cid:237)guez Ramos,Undirected,4
Raúl Guinovart Díaz,Wilfredo Morales Lezca,Undirected,1
Reinaldo Rodr(cid:237)guez Ramos,Wilfredo Morales Lezca,Undirected,1
Aymée de los Ángeles Marrero Severo,Daniel Menció Padrón,Undirected,2
Aymée de los Ángeles Marrero Severo,Gabriela Bayolo Soler,Undirected,2
Daniel Menció Padrón,Gabriela Bayolo Soler,Undirected,2
Angela Mireya León-Mecías,Jose Alejandro Mesejo-Chiong,Undirected,1
Celia T. González González,Mariano Rodríguez Ricard,Undirected,1
Carlos Rafael Sebrango Rodríguez,Lizet Sánchez Valdés,Undirected,2
Carlos Rafael Sebrango Rodríguez,Osvaldo Norman Montenegro,Undirected,2
Carlos Rafael Sebrango Rodríguez,Raúl Guinovart Díaz,Undirected,1
Carlos Rafael Sebrango Rodríguez,Waldemart Baldoquin,Undirected,1
Lizet Sánchez Valdés,Osvaldo Norman Montenegro,Undirected,1
Lizet Sánchez Valdés,Raúl Guinovart Díaz,Undirected,1
Lizet Sánchez Valdés,Waldemart Baldoquin,Undirected,1
Osvaldo Norman Montenegro,Raúl Guinovart Díaz,Undirected,1
Osvaldo Norman Montenegro,Waldemart Baldoquin,Undirected,1
Raúl Guinovart Díaz,Waldemart Baldoquin,Undirected,1
Alejandro Lage-Castellanos,Gabriel Gil,Undirected,1
Bárbara Rodríguez,Carlos Rafael Sebrango Rodríguez,Undirected,1
Bárbara Rodríguez,Carlos de la Caridad Rodríguez Fadragas,Undirected,1
Bárbara Rodríguez,David Rodríguez Fernández,Undirected,1
Bárbara Rodríguez,Lic. Roxana Pérez García,Undirected,1
Bárbara Rodríguez,Luis B. Lecha Estela,Undirected,1
Bárbara Rodríguez,María del Carmen Velasco Gómez,Undirected,1
Bárbara Rodríguez,Osvaldo Norman Montenegro,Undirected,1
Bárbara Rodríguez,Yanet Rodríguez Sarabia,Undirected,1
Carlos Rafael Sebrango Rodríguez,Carlos de la Caridad Rodríguez Fadragas,Undirected,1
Carlos Rafael Sebrango Rodríguez,David Rodríguez Fernández,Undirected,1
Carlos Rafael Sebrango Rodríguez,Lic. Roxana Pérez García,Undirected,1
Carlos Rafael Sebrango Rodríguez,Luis B. Lecha Estela,Undirected,1
Carlos Rafael Sebrango Rodríguez,María del Carmen Velasco Gómez,Undirected,1
Carlos Rafael Sebrango Rodríguez,Yanet Rodríguez Sarabia,Undirected,1
Carlos de la Caridad Rodríguez Fadragas,David Rodríguez Fernández,Undirected,1
Carlos de la Caridad Rodríguez Fadragas,Lic. Roxana Pérez García,Undirected,1
Carlos de la Caridad Rodríguez Fadragas,Luis B. Lecha Estela,Undirected,1
Carlos de la Caridad Rodríguez Fadragas,María del Carmen Velasco Gómez,Undirected,1
Carlos de la Caridad Rodríguez Fadragas,Osvaldo Norman Montenegro,Undirected,1
Carlos de la Caridad Rodríguez Fadragas,Yanet Rodríguez Sarabia,Undirected,1
David Rodríguez Fernández,Lic. Roxana Pérez García,Undirected,1
David Rodríguez Fernández,Luis B. Lecha Estela,Undirected,1
David Rodríguez Fernández,María del Carmen Velasco Gómez,Undirected,1
David Rodríguez Fernández,Osvaldo Norman Montenegro,Undirected,1
David Rodríguez Fernández,Yanet Rodríguez Sarabia,Undirected,1
Lic. Roxana Pérez García,Luis B. Lecha Estela,Undirected,1
Lic. Roxana Pérez García,María del Carmen Velasco Gómez,Undirected,1
Lic. Roxana Pérez García,Osvaldo Norman Montenegro,Undirected,1
Lic. Roxana Pérez García,Yanet Rodríguez Sarabia,Undirected,1
Luis B. Lecha Estela,María del Carmen Velasco Gómez,Undirected,1
Luis B. Lecha Estela,Osvaldo Norman Montenegro,Undirected,1
Luis B. Lecha Estela,Yanet Rodríguez Sarabia,Undirected,1
María del Carmen Velasco Gómez,Osvaldo Norman Montenegro,Undirected,1
María del Carmen Velasco Gómez,Yanet Rodríguez Sarabia,Undirected,1
Osvaldo Norman Montenegro,Yanet Rodríguez Sarabia,Undirected,1
Alejandro Cabo Montes de Oca,Nana Cabo Bizet,Undirected,1
Ernesto Quevedo Caballero,José E. Valdés Castro,Undirected,1
Ernesto Quevedo Caballero,Marelys Crespo Navas,Undirected,1
Ernesto Quevedo Caballero,Pedro Pablo de la Cruz Cobas,Undirected,1
José E. Valdés Castro,Marelys Crespo Navas,Undirected,1
José E. Valdés Castro,Pedro Pablo de la Cruz Cobas,Undirected,1
Marelys Crespo Navas,Pedro Pablo de la Cruz Cobas,Undirected,1
Antonio Torres-Reyes,Lizet Sánchez Valdés,Undirected,1
Antonio Torres-Reyes,Nancy Perez,Undirected,1
Antonio Torres-Reyes,Patricia Lorenzo-Luaces Álvarez,Undirected,1
