Id,Label
A. Figueroa-Romero,A. Figueroa-Romero
A. Gaona-Arias,A. Gaona-Arias
A. Soria-Lorente,A. Soria-Lorente
Abel Fernández Infante1*,Abel Fernández Infante1*
Abel Rodr´ıguez Morffi,Abel Rodr´ıguez Morffi
Abelardo López Domínguez,Abelardo López Domínguez
Abraham Toledo Sánchez,Abraham Toledo Sánchez
Adolfo Arsenio Fernández García,Adolfo Arsenio Fernández García
Adrian Donatien Charón,Adrian Donatien Charón
Adriana Díaz Cordero,Adriana Díaz Cordero
Adrián Alfonso Pen˜ate,Adrián Alfonso Pen˜ate
Adrián Saldaña,Adrián Saldaña
Agustín Alejandro Ortiz Díaz,Agustín Alejandro Ortiz Díaz
Aida María Torres Alfonso,Aida María Torres Alfonso
Alain Pérez Alonso,Alain Pérez Alonso
Alberto Fernández Oliva,Alberto Fernández Oliva
Alberto Verdecia Cabrera,Alberto Verdecia Cabrera
Alejandro Cabo Montes de Oca,Alejandro Cabo Montes de Oca
Alejandro Freyre,Alejandro Freyre
Alejandro Lage-Castellanos,Alejandro Lage-Castellanos
Alejandro Mesejo Chiong,Alejandro Mesejo Chiong
Alejandro Piad Morffis,Alejandro Piad Morffis
Alejandro Tamayo Castillo,Alejandro Tamayo Castillo
AlejandroAlonso Fœster,AlejandroAlonso Fœster
Alexander Gorina Sánchez,Alexander Gorina Sánchez
Alexandre I. Grebennikov,Alexandre I. Grebennikov
Alexi Massó Mun˜oz,Alexi Massó Mun˜oz
Alicia Robbio Marrero,Alicia Robbio Marrero
Alina Fernández Arias,Alina Fernández Arias
Alisbet Martínez Bello,Alisbet Martínez Bello
Allan Blanco García,Allan Blanco García
Amaury Pérez Martínez,Amaury Pérez Martínez
Ana A. Oroza Hernández,Ana A. Oroza Hernández
Ana D. Pérez,Ana D. Pérez
Ana Isis Toledo Marrero,Ana Isis Toledo Marrero
Ana Margarita Solares Asteasuainzarra,Ana Margarita Solares Asteasuainzarra
Andro Gonzáles,Andro Gonzáles
Andrés Gago Alonso,Andrés Gago Alonso
Angel Domingues Chovert,Angel Domingues Chovert
Angel Isaac Moreno Delfrade,Angel Isaac Moreno Delfrade
Angel Ulise Tabares González,Angel Ulise Tabares González
Angela Martin Sánchez,Angela Martin Sánchez
Angela Mireya León-Mecías,Angela Mireya León-Mecías
Anna Fernández Girone,Anna Fernández Girone
Annia Ruiz Sánchez,Annia Ruiz Sánchez
Annia Valiente Monte de Oca,Annia Valiente Monte de Oca
Antonio Alejo Combarro,Antonio Alejo Combarro
Antonio Bolufé Rohler,Antonio Bolufé Rohler
Antonio Iván Ruiz Chaveco,Antonio Iván Ruiz Chaveco
Antonio Mustelier Hechavarría,Antonio Mustelier Hechavarría
Antonio Rafael Selva Castañeda,Antonio Rafael Selva Castañeda
Antonio Torres-Reyes,Antonio Torres-Reyes
Aracelys García Armenteros,Aracelys García Armenteros
Ariel Calderón Valdés,Ariel Calderón Valdés
Arlet Ponce Alvarez,Arlet Ponce Alvarez
Armando Arredondo Soto,Armando Arredondo Soto
Aymée de los Ángeles Marrero Severo,Aymée de los Ángeles Marrero Severo
Beatriz de Rancell Montero Deus,Beatriz de Rancell Montero Deus
Benny JonRobaina,Benny JonRobaina
Bin Zhang,Bin Zhang
Boris Pérez Canedo,Boris Pérez Canedo
Brenda Lambert Lamazares,Brenda Lambert Lamazares
Bulmaro Juárez Hernández,Bulmaro Juárez Hernández
Bárbara Rodríguez,Bárbara Rodríguez
C. M. Legón,C. M. Legón
Cacoq Junot,Cacoq Junot
Camila Machado,Camila Machado
Camilo Denis González,Camilo Denis González
Camilo Mora Batista,Camilo Mora Batista
Carlos Duardo Monteagudo,Carlos Duardo Monteagudo
Carlos Díaz Novo,Carlos Díaz Novo
Carlos García,Carlos García
Carlos Javier Pérez Perez,Carlos Javier Pérez Perez
Carlos Jiménez Tejeda,Carlos Jiménez Tejeda
Carlos Miguel Legón,Carlos Miguel Legón
Carlos Miguel Legón Pérez,Carlos Miguel Legón Pérez
Carlos Morell Pérez,Carlos Morell Pérez
Carlos Rafael Sebrango Rodríguez,Carlos Rafael Sebrango Rodríguez
Carlos Segura Vidal,Carlos Segura Vidal
Carlos Sánchez Fernández,Carlos Sánchez Fernández
Carlos de la Caridad Rodríguez Fadragas,Carlos de la Caridad Rodríguez Fadragas
Carmen Tejeda Toledo,Carmen Tejeda Toledo
Celia T. González González,Celia T. González González
Ceyli M. Ricardo Gomar,Ceyli M. Ricardo Gomar
Claudia Espinosa Contreras,Claudia Espinosa Contreras
Claudia Fonte Sánchez,Claudia Fonte Sánchez
Cliffor Jerry Herrera-Castrillo,Cliffor Jerry Herrera-Castrillo
Comité Editorial,Comité Editorial
Concepción Valdés Castro,Concepción Valdés Castro
César Raúl García Jacas,César Raúl García Jacas
Dagoberto Acosta Iglesias,Dagoberto Acosta Iglesias
Damian Valdés Santiago,Damian Valdés Santiago
Damny Magdaleno Guevara,Damny Magdaleno Guevara
Dania Tamayo Vera,Dania Tamayo Vera
Daniel Alejandro Mesejo León,Daniel Alejandro Mesejo León
Daniel Alejandro Valdés Pérez,Daniel Alejandro Valdés Pérez
Daniel Alfonso Santiesteban,Daniel Alfonso Santiesteban
Daniel Menció Padrón,Daniel Menció Padrón
Daniela Bonilla Barraza,Daniela Bonilla Barraza
Danilo Valdes Ramirez,Danilo Valdes Ramirez
David Guinovart Sanjuán,David Guinovart Sanjuán
David La O Naranjo,David La O Naranjo
David Rodríguez Fernández,David Rodríguez Fernández
Dayron Chang Dominguez1*,Dayron Chang Dominguez1*
Dianne Miyares Moreno,Dianne Miyares Moreno
Diego Esteban Gutierrez Valencia,Diego Esteban Gutierrez Valencia
Dr C. Manuel Mariño Betancourt,Dr C. Manuel Mariño Betancourt
Dr C. Miguel Cruz Ramírez,Dr C. Miguel Cruz Ramírez
Dr. José Enrique Martínez Serra,Dr. José Enrique Martínez Serra
Dr. Lorgio F. Batard Martínez,Dr. Lorgio F. Batard Martínez
Dr. Luis R. Piñeiro Díaz,Dr. Luis R. Piñeiro Díaz
Dr.C Ricardo Sánchez Casanova,Dr.C Ricardo Sánchez Casanova
Dr.C. José Fidel Hernández Advíncula,Dr.C. José Fidel Hernández Advíncula
Dra. Elina Miret Barroso,Dra. Elina Miret Barroso
Dra. Lydia Castro Odio,Dra. Lydia Castro Odio
Dra. Marta Lourdes Baguer Díaz-Romañach,Dra. Marta Lourdes Baguer Díaz-Romañach
Dra. Olga Lidia Pérez González,Dra. Olga Lidia Pérez González
DraC Teresa Bernarda Pagés López,DraC Teresa Bernarda Pagés López
Dámasa Martínez Martínez,Dámasa Martínez Martínez
E. J. Madarro,E. J. Madarro
E. Menéndez,E. Menéndez
E. R.Morgado,E. R.Morgado
Eberto R. Morgado Morales,Eberto R. Morgado Morales
Eduardo Quesada Orozco,Eduardo Quesada Orozco
Eduardo R. Concepción Morales,Eduardo R. Concepción Morales
Eduardo Álvarez Rojas,Eduardo Álvarez Rojas
Eladio Jorge Oliveros Saúco,Eladio Jorge Oliveros Saúco
Elisa Monteiro Pereira,Elisa Monteiro Pereira
Elisabet Vivar Reyes,Elisabet Vivar Reyes
Elisângela Monteiro Pereira,Elisângela Monteiro Pereira
Eloy Rafael Oliveros Domínguez,Eloy Rafael Oliveros Domínguez
Elsa C. Ramírez García,Elsa C. Ramírez García
Elsa Gutiérrez Báez,Elsa Gutiérrez Báez
Emmanuel Abdias Romano Castillo,Emmanuel Abdias Romano Castillo
Erick Eduardo Ramirez-Torres,Erick Eduardo Ramirez-Torres
Erick Manuel Delgado Moya,Erick Manuel Delgado Moya
Ernestina Castell2,Ernestina Castell2
Ernesto A. Borrego Rodríguez,Ernesto A. Borrego Rodríguez
Ernesto A. López Cadalso,Ernesto A. López Cadalso
Ernesto A. Mederos Franqueiro,Ernesto A. Mederos Franqueiro
Ernesto Alejandro López Caldalso,Ernesto Alejandro López Caldalso
Ernesto Alfonso Hernández,Ernesto Alfonso Hernández
Ernesto Dominguez Fiallo,Ernesto Dominguez Fiallo
Ernesto Iglesias Rodríguez,Ernesto Iglesias Rodríguez
Ernesto Parra Inza,Ernesto Parra Inza
Ernesto Quevedo Caballero,Ernesto Quevedo Caballero
