Source,Target
Felicia Pérez Moya,"Universidad de Ciencias Médicas de Sancti Spíritus, Facultad de Ciencias Médicas ""Dr. Faustino Pérez Hernández"". Sancti Spíritus, Cuba"
Carlos Javier Pérez Perez,"Universidad de Ciencias Médicas de Sancti Spíritus, Facultad de Ciencias Médicas ""Dr. Faustino Pérez Hernández"". Sancti Spíritus, Cuba"
Ángela Rosa Herrera Trocones,"Universidad de Ciencias Médicas de Sancti Spíritus, Facultad de Ciencias Médicas ""Dr. Faustino Pérez Hernández"". Sancti Spíritus, Cuba"
Norma Cabrera,"Departamento de Ciencia de la Computación, Universidad Central de Las Villas, Cuba"
Luisa González,"Departamento de Ciencia de la Computación, Universidad Central de Las Villas, Cuba"
Carlos García,"Departamento de Ciencia de la Computación, Universidad Central de Las Villas, Cuba"
Abel Rodr´ıguez Morffi,"Departamento de Ciencia de la Computación, Universidad Central de Las Villas, Cuba"
Luís Santiago Moreno,Universidad de la Habana
Luís Santiago Moreno,Universidad de Toronto
Luís Santiago Moreno,CENATAV
Andrés Gago Alonso,Universidad de la Habana
Andrés Gago Alonso,Universidad de Toronto
Andrés Gago Alonso,CENATAV
Prof. Dr. Luis Ramiro Piñeiro Díaz,Universidad de la Habana
Prof. Dr. Luis Ramiro Piñeiro Díaz,Universidad de Toronto
Prof. Dr. Luis Ramiro Piñeiro Díaz,CENATAV
Carlos Díaz Novo,Universidad de Oriente
Carlos Díaz Novo,Centro de Biofísica Medica
Cacoq Junot,Universidad de Oriente
Cacoq Junot,Centro de Biofísica Medica
Larisa Zamora Matamoros,Universidad de Oriente
Larisa Zamora Matamoros,Centro de Biofísica Medica
Gladys Linares Fleites,Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla
Gladys Linares Fleites,Postgrado de Ciencias Ambientales- ICUAP
Gladys Linares Fleites,Universidad Autónoma del Estado de Hidalgo
José Víctor Tamariz Flores,Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla
José Víctor Tamariz Flores,Postgrado de Ciencias Ambientales- ICUAP
José Víctor Tamariz Flores,Universidad Autónoma del Estado de Hidalgo
Jenaro Reyes M.,Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla
Jenaro Reyes M.,Postgrado de Ciencias Ambientales- ICUAP
Jenaro Reyes M.,Universidad Autónoma del Estado de Hidalgo
Otilio Acevedo S.,Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla
Otilio Acevedo S.,Postgrado de Ciencias Ambientales- ICUAP
Otilio Acevedo S.,Universidad Autónoma del Estado de Hidalgo
Jesús A. Ruiz Careaga,Departamento de Investigación en Ciencias Agrícolas.Instituto de CienciasBenemérita Universidad Autónoma de Puebla
Jesús A. Ruiz Careaga,Postgrado de Ciencias Ambientales- ICUAP
Jesús A. Ruiz Careaga,Universidad Autónoma del Estado de Hidalgo
Gladys Linares Fleites,"Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México."
Gladys Linares Fleites,Universidad Autónoma de Hidalgo.
Gladys Linares Fleites,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México."
Gladys Linares Fleites,"Texas A&M University, College Station, Texas. USA."
J.B. Dixon,"Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México."
J.B. Dixon,Universidad Autónoma de Hidalgo.
J.B. Dixon,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México."
J.B. Dixon,"Texas A&M University, College Station, Texas. USA."
M.A. Valera Pérez,"Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México."
M.A. Valera Pérez,Universidad Autónoma de Hidalgo.
M.A. Valera Pérez,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México."
M.A. Valera Pérez,"Texas A&M University, College Station, Texas. USA."
M.G. Tenorio Arvide,"Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México."
M.G. Tenorio Arvide,Universidad Autónoma de Hidalgo.
M.G. Tenorio Arvide,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México."
M.G. Tenorio Arvide,"Texas A&M University, College Station, Texas. USA."
O. A Acevedo Sandoval,"Dpto. de Investigaciones en Ciencias Agrícolas. B. Universidad Autónoma de Puebla, México."
O. A Acevedo Sandoval,Universidad Autónoma de Hidalgo.
O. A Acevedo Sandoval,"Postgrado en Ciencias Ambientales, ICUAP, B. Universidad Autónoma de Puebla, México."
O. A Acevedo Sandoval,"Texas A&M University, College Station, Texas. USA."
Pedro Domínguez Wade,"Universidad Pedagógica de Villa Clara, Cuba"
Pedro Domínguez Wade,Universidad de Matanzas
Jesús Barreto Molina,"Universidad Pedagógica de Villa Clara, Cuba"
Jesús Barreto Molina,Universidad de Matanzas
Dámasa Martínez Martínez,Facultad de Matemática Física y Computación
Dámasa Martínez Martínez,Universidad Central de Las Villas
Aida María Torres Alfonso,Facultad de Matemática Física y Computación
Aida María Torres Alfonso,Universidad Central de Las Villas
M. A. Herrera,Dpto. Matemática Aplicada. Facultad de Matemática y Computación. Universidad de La Habana. Cuba
M. A. Herrera,Unidad Académica Facultad de Matemática. Sede Acapulco. Universidad Autónoma de Guerrero. México
E. Menéndez,Dpto. Matemática Aplicada. Facultad de Matemática y Computación. Universidad de La Habana. Cuba
E. Menéndez,Unidad Académica Facultad de Matemática. Sede Acapulco. Universidad Autónoma de Guerrero. México
J. Villagómez,Dpto. Matemática Aplicada. Facultad de Matemática y Computación. Universidad de La Habana. Cuba
J. Villagómez,Unidad Académica Facultad de Matemática. Sede Acapulco. Universidad Autónoma de Guerrero. México
Minerva Montero Díaz,"Instituto de Cibernética, Matemática y Física, La Habana, Cuba"
Minerva Montero Díaz,"Universidad Veracruzana, Xalapa, México"
Minerva Montero Díaz,"Universidad de La Habana, La Habana, Cuba"
Mario M. Ojeda3,"Instituto de Cibernética, Matemática y Física, La Habana, Cuba"
Mario M. Ojeda3,"Universidad Veracruzana, Xalapa, México"
Mario M. Ojeda3,"Universidad de La Habana, La Habana, Cuba"
Ernestina Castell2,"Instituto de Cibernética, Matemática y Física, La Habana, Cuba"
Ernestina Castell2,"Universidad Veracruzana, Xalapa, México"
Ernestina Castell2,"Universidad de La Habana, La Habana, Cuba"
Rafael Oliva-Santos,Facultad de Matemática y Computación. Universidad de La Habana
Aymée de los Ángeles Marrero Severo,Universidad de La Habana
Miriam Nicado García,Universidad de La Habana
Wilfredo Morales Lezca,"Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba"
Wilfredo Morales Lezca,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Wilfredo Morales Lezca,"Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA"
Wilfredo Morales Lezca,Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México
Isidro A. Abelló Ugalde,"Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba"
Isidro A. Abelló Ugalde,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Isidro A. Abelló Ugalde,"Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA"
Isidro A. Abelló Ugalde,Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México
David Guinovart Sanjuán,"Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba"
David Guinovart Sanjuán,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
David Guinovart Sanjuán,"Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA"
David Guinovart Sanjuán,Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México
Raúl Guinovart Díaz,"Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba"
Raúl Guinovart Díaz,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Raúl Guinovart Díaz,"Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA"
Raúl Guinovart Díaz,Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México
Julián Bravo Castillero,"Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba"
Julián Bravo Castillero,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Julián Bravo Castillero,"Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA"
Julián Bravo Castillero,Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México
Reinaldo Rodr(cid:237)guez Ramos,"Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba"
Reinaldo Rodr(cid:237)guez Ramos,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Reinaldo Rodr(cid:237)guez Ramos,"Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA"
Reinaldo Rodr(cid:237)guez Ramos,Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México
Gabriela Bayolo Soler,"Departamento de Matemática, Universidad de la Habana, La Habana, Cuba"
Aymée de los Ángeles Marrero Severo,"Departamento de Matemática, Universidad de la Habana, La Habana, Cuba"
Daniel Menció Padrón,"Departamento de Matemática, Universidad de la Habana, La Habana, Cuba"
Jose Alejandro Mesejo-Chiong,"Departamento de Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Angela Mireya León-Mecías,"Departamento de Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Celia T. González González,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Mariano Rodríguez Ricard,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Carlos Rafael Sebrango Rodríguez,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Centro de Inmunología Molecular, La Habana, Cuba"
Carlos Rafael Sebrango Rodríguez,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Carlos Rafael Sebrango Rodríguez,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Carlos Rafael Sebrango Rodríguez,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Lizet Sánchez Valdés,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Lizet Sánchez Valdés,"Centro de Inmunología Molecular, La Habana, Cuba"
Lizet Sánchez Valdés,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Lizet Sánchez Valdés,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Lizet Sánchez Valdés,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Raúl Guinovart Díaz,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Raúl Guinovart Díaz,"Centro de Inmunología Molecular, La Habana, Cuba"
Raúl Guinovart Díaz,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Raúl Guinovart Díaz,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Raúl Guinovart Díaz,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Waldemart Baldoquin,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Waldemart Baldoquin,"Centro de Inmunología Molecular, La Habana, Cuba"
Waldemart Baldoquin,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Waldemart Baldoquin,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Waldemart Baldoquin,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Osvaldo Norman Montenegro,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Centro de Inmunología Molecular, La Habana, Cuba"
Osvaldo Norman Montenegro,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Osvaldo Norman Montenegro,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Osvaldo Norman Montenegro,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Gabriel Gil,"Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física (ICIMAF), La Habana, Cuba"
Gabriel Gil,"Departamento de Física Teórica, Facultad de Física, Universidad de La Habana, La Habana, Cuba"
Alejandro Lage-Castellanos,"Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física (ICIMAF), La Habana, Cuba"
Alejandro Lage-Castellanos,"Departamento de Física Teórica, Facultad de Física, Universidad de La Habana, La Habana, Cuba"
Yanet Rodríguez Sarabia,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Yanet Rodríguez Sarabia,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Yanet Rodríguez Sarabia,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
