Source,Target,Type,Weight
dependencia de existencia,diseño de bases de datos,Undirected,1
dependencia de existencia,entidades débiles,Undirected,1
dependencia de existencia,interrelaciones débiles,Undirected,1
dependencia de existencia,modelación de datos,Undirected,1
diseño de bases de datos,entidades débiles,Undirected,1
diseño de bases de datos,interrelaciones débiles,Undirected,1
diseño de bases de datos,modelación de datos,Undirected,1
entidades débiles,interrelaciones débiles,Undirected,1
entidades débiles,modelación de datos,Undirected,1
interrelaciones débiles,modelación de datos,Undirected,1
banda confidencial,banda de predicción,Undirected,1
banda confidencial,bootstrap,Undirected,1
banda confidencial,ciclo de marcha,Undirected,1
banda confidencial,cinemática,Undirected,1
banda de predicción,bootstrap,Undirected,1
banda de predicción,ciclo de marcha,Undirected,1
banda de predicción,cinemática,Undirected,1
bootstrap,ciclo de marcha,Undirected,1
bootstrap,cinemática,Undirected,1
ciclo de marcha,cinemática,Undirected,1
análisis de correspondencias,erosión de suelo,Undirected,1
análisis de correspondencias,regresión logística,Undirected,1
erosión de suelo,regresión logística,Undirected,1
andisoles,calidad dinámica,Undirected,1
andisoles,calidad inherente,Undirected,1
andisoles,función discriminante,Undirected,1
calidad dinámica,calidad inherente,Undirected,1
calidad dinámica,función discriminante,Undirected,1
calidad inherente,función discriminante,Undirected,1
comprensión matemática,modelos,Undirected,1
comprensión matemática,situaciones didácticas,Undirected,1
modelos,situaciones didácticas,Undirected,1
distribución t-student,independencia,Undirected,1
distribución t-student,media muestral,Undirected,1
distribución t-student,varianza muestral,Undirected,1
independencia,media muestral,Undirected,1
independencia,varianza muestral,Undirected,1
media muestral,varianza muestral,Undirected,1
enfoque gsk,modelos multinivel,Undirected,1
enfoque gsk,tablas de contingencia,Undirected,1
modelos multinivel,tablas de contingencia,Undirected,1
covid-19,endemia,Undirected,1
covid-19,modelos sir,Undirected,1
covid-19,número reproductivo básico,Undirected,1
covid-19,rebrote,Undirected,1
endemia,modelos sir,Undirected,1
endemia,número reproductivo básico,Undirected,1
endemia,rebrote,Undirected,1
modelos sir,número reproductivo básico,Undirected,1
modelos sir,rebrote,Undirected,1
número reproductivo básico,rebrote,Undirected,1
covid19,modelo seair,Undirected,1
covid19,número reproductivo básico,Undirected,1
covid19,tasa de transmisión,Undirected,1
modelo seair,número reproductivo básico,Undirected,1
modelo seair,tasa de transmisión,Undirected,1
número reproductivo básico,tasa de transmisión,Undirected,1
covid-19,crecimiento de epidemias,Undirected,1
covid-19,modelos fenomenológicos,Undirected,1
crecimiento de epidemias,modelos fenomenológicos,Undirected,1
dinámica de epidemia,modelo sir,Undirected,1
covid-19,modelo no lineal con efectos mixtos,Undirected,1
covid-19,modelos fenomenológicos dinámicos,Undirected,1
modelo no lineal con efectos mixtos,modelos fenomenológicos dinámicos,Undirected,1
covid-19,cuba,Undirected,1
covid-19,modelos epidemiológicos de compartimentos,Undirected,1
covid-19,métodos de inferencia bayesiana,Undirected,1
cuba,modelos epidemiológicos de compartimentos,Undirected,1
cuba,métodos de inferencia bayesiana,Undirected,1
modelos epidemiológicos de compartimentos,métodos de inferencia bayesiana,Undirected,1
covid-19,modelos de crecimiento sigmoidal,Undirected,1
covid-19,pronósticos en tiempo real,Undirected,1
covid-19,sir,Undirected,1
modelos de crecimiento sigmoidal,pronósticos en tiempo real,Undirected,1
modelos de crecimiento sigmoidal,sir,Undirected,1
pronósticos en tiempo real,sir,Undirected,1
covid19,cuarentena,Undirected,1
covid19,hospitalización,Undirected,1
covid19,modelosairv,Undirected,1
covid19,tasadetransmisión,Undirected,1
cuarentena,hospitalización,Undirected,1
cuarentena,modelosairv,Undirected,1
cuarentena,tasadetransmisión,Undirected,1
hospitalización,modelosairv,Undirected,1
hospitalización,tasadetransmisión,Undirected,1
modelosairv,tasadetransmisión,Undirected,1
suceptibles-infectados-recuperados,tasadecontagiovariable,Undirected,1
suceptibles-infectados-recuperados,tasaderecuperación,Undirected,1
tasadecontagiovariable,tasaderecuperación,Undirected,1
covid-19,procesosderamificación,Undirected,1
covid-19,simulación,Undirected,1
procesosderamificación,simulación,Undirected,1
