Source,Target
Felicia Pérez Moya,Capacidades de IA generativa en Bioquímica y Metabolismo
Carlos Javier Pérez Perez,Capacidades de IA generativa en Bioquímica y Metabolismo
Ángela Rosa Herrera Trocones,Capacidades de IA generativa en Bioquímica y Metabolismo
Norma Cabrera,Análisis de dependencia de existencia en asociaciones
Luisa González,Análisis de dependencia de existencia en asociaciones
Carlos García,Análisis de dependencia de existencia en asociaciones
Abel Rodr´ıguez Morffi,Análisis de dependencia de existencia en asociaciones
Luís Santiago Moreno,Ecuaciones de Toda y polinomios ortogonales
Andrés Gago Alonso,Ecuaciones de Toda y polinomios ortogonales
Prof. Dr. Luis Ramiro Piñeiro Díaz,Ecuaciones de Toda y polinomios ortogonales
Carlos Díaz Novo,Análisis cuantitativo de la cinemática del ciclo de marcha
Cacoq Junot,Análisis cuantitativo de la cinemática del ciclo de marcha
Larisa Zamora Matamoros,Análisis cuantitativo de la cinemática del ciclo de marcha
Gladys Linares Fleites,Análisis de degradación de suelos
José Víctor Tamariz Flores,Análisis de degradación de suelos
Jenaro Reyes M.,Análisis de degradación de suelos
Otilio Acevedo S.,Análisis de degradación de suelos
Jesús A. Ruiz Careaga,Análisis de degradación de suelos
Gladys Linares Fleites,Análisis de calidad de suelos en Sierra Norte de Puebla
J.B. Dixon,Análisis de calidad de suelos en Sierra Norte de Puebla
M.A. Valera Pérez,Análisis de calidad de suelos en Sierra Norte de Puebla
M.G. Tenorio Arvide,Análisis de calidad de suelos en Sierra Norte de Puebla
O. A Acevedo Sandoval,Análisis de calidad de suelos en Sierra Norte de Puebla
Pedro Domínguez Wade,Anillos de Schur y módulos globalmente simples
Jesús Barreto Molina,Anillos de Schur y módulos globalmente simples
Dámasa Martínez Martínez,Comprensión matemática en educación
Aida María Torres Alfonso,Comprensión matemática en educación
M. A. Herrera,Independencia de la media y varianza muestrales en distribución Normal
E. Menéndez,Independencia de la media y varianza muestrales en distribución Normal
J. Villagómez,Independencia de la media y varianza muestrales en distribución Normal
Minerva Montero Díaz,Análisis de tablas de contingencia con modelos multinivel
Mario M. Ojeda3,Análisis de tablas de contingencia con modelos multinivel
Ernestina Castell2,Análisis de tablas de contingencia con modelos multinivel
Rafael Oliva-Santos,Desarrollo de la Web y socialización de información
Aymée de los Ángeles Marrero Severo,Modelos matemáticos en epidemiología
Miriam Nicado García,Modelos matemáticos en epidemiología
Wilfredo Morales Lezca,Modelos SIR para epidemias de COVID-19
Isidro A. Abelló Ugalde,Modelos SIR para epidemias de COVID-19
David Guinovart Sanjuán,Modelos SIR para epidemias de COVID-19
Raúl Guinovart Díaz,Modelos SIR para epidemias de COVID-19
Julián Bravo Castillero,Modelos SIR para epidemias de COVID-19
Reinaldo Rodr(cid:237)guez Ramos,Modelos SIR para epidemias de COVID-19
Gabriela Bayolo Soler,Modelo SEAIR para CoVid19 en Cuba
Aymée de los Ángeles Marrero Severo,Modelo SEAIR para CoVid19 en Cuba
Daniel Menció Padrón,Modelo SEAIR para CoVid19 en Cuba
Jose Alejandro Mesejo-Chiong,Modelos fenomenológicos para COVID-19 en Cuba
Angela Mireya León-Mecías,Modelos fenomenológicos para COVID-19 en Cuba
Celia T. González González,Modelo de dinámica de epidemia con una sola ecuación
Mariano Rodríguez Ricard,Modelo de dinámica de epidemia con una sola ecuación
Carlos Rafael Sebrango Rodríguez,Modelos dinámicos para predecir casos de Covid-19 en Cuba
Lizet Sánchez Valdés,Modelos dinámicos para predecir casos de Covid-19 en Cuba
Raúl Guinovart Díaz,Modelos dinámicos para predecir casos de Covid-19 en Cuba
Waldemart Baldoquin,Modelos dinámicos para predecir casos de Covid-19 en Cuba
Osvaldo Norman Montenegro,Modelos dinámicos para predecir casos de Covid-19 en Cuba
Gabriel Gil,Estimación de infecciones indocumentadas de Covid-19 en Cuba
Alejandro Lage-Castellanos,Estimación de infecciones indocumentadas de Covid-19 en Cuba
Yanet Rodríguez Sarabia,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
María del Carmen Velasco Gómez,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Carlos Rafael Sebrango Rodríguez,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Luis B. Lecha Estela,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Carlos de la Caridad Rodríguez Fadragas,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
David Rodríguez Fernández,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Bárbara Rodríguez,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Osvaldo Norman Montenegro,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Lic. Roxana Pérez García,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
Gabriela Bayolo Soler,Modelo SAIRV para la evolución de CoVid19 en Cuba
Daniel Menció Padrón,Modelo SAIRV para la evolución de CoVid19 en Cuba
Aymée de los Ángeles Marrero Severo,Modelo SAIRV para la evolución de CoVid19 en Cuba
Nana Cabo Bizet,Modelos SIR modificados para COVID-19
Alejandro Cabo Montes de Oca,Modelos SIR modificados para COVID-19
Pedro Pablo de la Cruz Cobas,Procesos de ramificación aplicados al estudio de la transmisión de COVID-19
Ernesto Quevedo Caballero,Procesos de ramificación aplicados al estudio de la transmisión de COVID-19
José E. Valdés Castro,Procesos de ramificación aplicados al estudio de la transmisión de COVID-19
Marelys Crespo Navas,Procesos de ramificación aplicados al estudio de la transmisión de COVID-19
Nancy Perez,Análisis espacial de la incidencia de COVID-19 en Cuba
Paula Fonte,Análisis espacial de la incidencia de COVID-19 en Cuba
Lizet Sánchez Valdés,Análisis espacial de la incidencia de COVID-19 en Cuba
Antonio Torres-Reyes,Análisis espacial de la incidencia de COVID-19 en Cuba
Patricia Lorenzo-Luaces Álvarez,Análisis espacial de la incidencia de COVID-19 en Cuba
Gemayqzel Bouza Allende,Estimación de camas para COVID-19 en Cuba
Sira M. Allende Alonso,Estimación de camas para COVID-19 en Cuba
William L. Sariol-Nuñez,Estimación de camas para COVID-19 en Cuba
Dr C. Miguel Cruz Ramírez,Aplicación del Delphi de Nube en la percepción subjetiva del pico de la COVID-19
Yanet Rodríguez Sarabia,Predicción de COVID-19 en Cuba con Aprendizaje Automático
Carlos Morell Pérez,Predicción de COVID-19 en Cuba con Aprendizaje Automático
Héctor González,Predicción de COVID-19 en Cuba con Aprendizaje Automático
Minerva Montero Díaz,Modelos multinivel para predecir casos de COVID-19
Sandy Sánchez Domínguez,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Isabel Martén Powell,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Antonio Iván Ruiz Chaveco,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Roberto Labrada-Claro,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Erick Eduardo Ramirez-Torres,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Antonio Rafael Selva Castañeda,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Marlon Cobas-Batista,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Annia Ruiz Sánchez,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Luis Enrique Bergues Cabrales,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Luis Eugenio Valdés García,Modelo matemático de interacción virus-sistema inmune con activación de células NK
Mijail Borges Quintana,Análisis de la COVID-19 en Cuba por seguimiento de pacientes y contactos
Eloy Rafael Oliveros Domínguez,Análisis de la COVID-19 en Cuba por seguimiento de pacientes y contactos
Yaidir Mustelier Ruiz,Autoridad de certificación para emisión de certificados digitales
DraC Teresa Bernarda Pagés López,Autoridad de certificación para emisión de certificados digitales
Yavseny Roque Hernández,Autoridad de certificación para emisión de certificados digitales
Adrian Donatien Charón,Criptoanálisis de cifrados en bloques con algoritmo genético
Mijail Borges Quintana,Criptoanálisis de cifrados en bloques con algoritmo genético
Miguel Angel Borges Trenard,Criptoanálisis de cifrados en bloques con algoritmo genético
Pedro Enrique Navarro Sosa,Medición de autenticidad en sistemas de autenticación gráfica
Raisa Socorro Llanes,Medición de autenticidad en sistemas de autenticación gráfica
Carlos Miguel Legón Pérez,Medición de autenticidad en sistemas de autenticación gráfica
Roberto Labrada Claro,Criptoanálisis algebraico de cifrados en bloques ligeros
Mijail Borges Quintana,Criptoanálisis algebraico de cifrados en bloques ligeros
Miguel Angel Borges Trenard,Criptoanálisis algebraico de cifrados en bloques ligeros
Camilo Denis González,Integración de curvas elípticas criptográficas en EJBCA
DraC Teresa Bernarda Pagés López,Integración de curvas elípticas criptográficas en EJBCA
Arlet Ponce Alvarez,Integración de curvas elípticas criptográficas en EJBCA
Yessica Caridad Castan˜o Sainz,Integración de curvas elípticas criptográficas en EJBCA
Osmani Tito Corrioso,Criptoanálisis de cifrados en bloques con Algoritmo Genético
Mijail Borges Quintana,Criptoanálisis de cifrados en bloques con Algoritmo Genético
Miguel Angel Borges Trenard,Criptoanálisis de cifrados en bloques con Algoritmo Genético
Osmani Tito Corrioso,Criptoanálisis de cifrados en bloques con Algoritmo Genético
Mijail Borges Quintana,Criptoanálisis de cifrados en bloques con Algoritmo Genético
Miguel Angel Borges Trenard,Criptoanálisis de cifrados en bloques con Algoritmo Genético
DraC Teresa Bernarda Pagés López,Implementación de aritmética para curvas elípticas en Bouncy Castle
